Customer Name,Year of Birth,Customer Gender,Customer Email,Customer City,Sales Employee,Sales Channel,Ad Media,Product ID,Order Date,Delivery Date,Invoice Date,Sales Amount,Cash Collected,Outstanding Amount,Overdue
Randall Taylor,1974,Male,jacquelinetrujillo@example.net,C02,E06,Online,TV,P02,12/14/2021,12/31/2021,12/14/2021,27227.79,3439.49,10686.16,No
Teresa Smith,1992,Male,jeremy81@example.org,C02,E04,Distributors,KOL,P04,7/5/2020,7/19/2020,7/5/2020,19452.84,4692.24,0,No
Michelle Elliott,1965,Male,todd23@example.net,C03,E01,In-store,Social Media,P03,10/12/2021,10/31/2021,10/12/2021,31539.11,4466.36,14264.22,No
Michael Mccormick,1986,Female,brookethompson@example.net,C01,E08,Distributors,Social Media,P03,8/9/2019,9/3/2019,8/9/2019,32958.77,29259.17,0,Yes
Sharon Miller,2005,Male,ricerebecca@example.org,C01,E02,Online,TV,P02,5/11/2019,5/15/2019,5/11/2019,24893.05,1841.75,14555.48,No
James Stuart,2000,Male,charles64@example.net,C01,E05,In-store,Social Media,P01,3/25/2021,4/2/2021,3/25/2021,21118.06,15032.45,0,No
Nancy Michael,1980,Female,amanda49@example.org,C03,E03,Online,KOL,P05,3/21/2020,4/10/2020,3/21/2020,21880.11,11058.49,0,Yes
Brian Smith,2001,Male,robert38@example.org,C02,E03,Online,Social Media,P02,8/18/2021,8/21/2021,8/18/2021,25818.54,23598,0,Yes
Jacob Carlson,1986,Male,wilcoxelizabeth@example.com,C03,E02,Online,Social Media,P02,12/10/2021,12/26/2021,12/10/2021,26648.14,2078.01,14729.68,Yes
Robin Hernandez,1988,Male,wthomas@example.com,C03,E05,Online,TV,P01,5/2/2022,5/7/2022,5/2/2022,22914.02,729.12,13196.05,No
Allison Smith,2001,Female,jacobrodriguez@example.com,C02,E01,In-store,Social Media,P01,8/20/2020,9/5/2020,8/20/2020,24646.43,1565.59,17814.85,Yes
Sharon Rangel,1973,Male,tcox@example.net,C02,E08,Distributors,Social Media,P04,11/29/2020,12/13/2020,11/29/2020,16220.05,4073.47,0,Yes
Olivia Morales,2003,Male,gloria11@example.com,C02,E06,In-store,KOL,P05,11/16/2020,11/30/2020,11/16/2020,20532.11,10035.66,0,No
Ashley George,1999,Female,dstrong@example.org,C01,E03,In-store,TV,P03,10/22/2019,11/1/2019,10/22/2019,36022.36,1510.69,12731.88,No
Mrs. Sarah Harris,2005,Male,erikamckinney@example.net,C02,E03,Distributors,TV,P05,12/15/2022,12/22/2022,12/15/2022,16881.41,2423.64,2501.23,No
Daniel Byrd,2002,Female,vsullivan@example.net,C01,E02,In-store,Social Media,P04,10/23/2022,11/4/2022,10/23/2022,19845.76,2088.89,4552.29,No
Tara Mathews,2001,Male,thomaswhite@example.net,C03,E03,Online,Social Media,P01,9/4/2020,9/24/2020,9/4/2020,24173.94,1473.11,20253.03,No
Kelly Gonzalez,1991,Male,jennifer59@example.net,C02,E06,Distributors,KOL,P01,12/26/2022,1/6/2023,12/26/2022,23817.91,3709.17,3848.24,No
Cameron Hale,1981,Male,elizabethchapman@example.org,C01,E02,In-store,KOL,P05,5/6/2022,5/18/2022,5/6/2022,18099.3,2824.56,5914.72,Yes
Michael Vargas,1993,Male,ryan28@example.com,C01,E03,Distributors,Email,P01,4/22/2023,5/15/2023,4/22/2023,21941.82,7576.79,0,Yes
Pamela Lewis,2002,Female,olsonmitchell@example.com,C02,E02,Distributors,Social Media,P03,6/14/2019,7/13/2019,6/14/2019,35109.18,,12216.41,No
Ryan Moreno,2002,Female,andrewmarsh@example.org,C02,E02,Online,Social Media,P01,1/31/2019,2/14/2019,1/31/2019,26873.54,1973.56,15865.73,Yes
Rachel Weaver,1971,Male,nneal@example.org,C02,E01,In-store,Email,P02,10/21/2022,10/28/2022,10/21/2022,26667.43,2173.15,4720.27,No
Mr. Marcus Griffin PhD,1989,Male,kathrynknapp@example.net,C01,E08,Online,KOL,P02,6/21/2022,6/26/2022,6/21/2022,25385.6,239.98,47787.7,Yes
Samantha Evans,1987,Male,dblack@example.org,C02,E04,In-store,Social Media,P03,11/9/2023,11/14/2023,11/9/2023,33063.97,3968.7,25207.77,Yes
Bryan Olson,1965,Female,tstrickland@example.com,C02,E05,Distributors,Email,P04,12/3/2023,12/18/2023,12/3/2023,21289.24,4884.25,924.82,No
Maria Gamble DDS,2004,Male,johnathan10@example.org,C02,E01,Distributors,KOL,P05,9/23/2018,10/17/2018,9/23/2018,18150.41,1319.67,6501.62,No
Mrs. Heather Robinson,1974,Male,langjohn@example.org,C03,E02,Online,KOL,P01,2/9/2018,2/26/2018,2/9/2018,24660.46,3212.62,26373.49,No
Paul Ball,1976,Female,newmanbrenda@example.org,C02,E07,Online,Email,P02,12/31/2019,1/10/2020,12/31/2019,29153.66,25620,0,Yes
Mary Decker,2003,Female,dylanjohnson@example.org,C01,E01,Distributors,TV,P02,10/14/2023,10/22/2023,10/14/2023,26587.61,11449.75,0,No
David Kelly,2002,Female,emily88@example.net,C01,E01,Online,TV,P01,11/28/2020,12/20/2020,11/28/2020,24318.03,2742.17,17795.24,No
Lindsey Castillo,1993,Male,tiffany91@example.net,C02,E04,Online,Social Media,P01,9/27/2019,10/13/2019,9/27/2019,24235.49,563.16,7243.65,No
Tim Armstrong,1975,Male,samanthamartinez@example.com,C01,E04,Online,KOL,P02,10/22/2023,11/4/2023,10/22/2023,28295.64,28424.66,0,No
James Hendricks,1997,Female,douglasmunoz@example.com,C02,E06,In-store,TV,P04,4/4/2023,4/20/2023,4/4/2023,22841.75,2452.84,5178.86,No
Timothy Chung,1990,Male,robertcabrera@example.org,C02,E07,Distributors,TV,P02,12/21/2018,12/28/2018,12/21/2018,26210.51,3871.96,5789.83,Yes
Lauren Drake,1983,Female,katherinewilson@example.net,C01,E01,Distributors,Social Media,P03,6/19/2022,7/9/2022,6/19/2022,32997.53,102.91,25144.87,No
Marcus Schwartz,2001,Male,frederick08@example.org,C01,E02,Online,KOL,P05,9/8/2018,9/28/2018,9/8/2018,18740.47,12556.18,0,Yes
Michael Pratt,1966,Male,corey66@example.net,C01,E03,Online,KOL,P01,9/24/2023,10/11/2023,9/24/2023,21404.6,21965.96,0,No
Angela Stewart,1997,Male,fmcclure@example.com,C01,E01,In-store,KOL,P01,7/19/2018,7/29/2018,7/19/2018,20006.83,22918.94,0,No
Gary Osborne,1972,Male,barbara63@example.net,C02,E01,Online,KOL,P05,,9/21/2018,,16745.59,2714.82,9249.41,Yes
Derrick Fuller,2002,Male,brian07@example.com,C01,E02,Online,Email,P01,4/20/2020,5/10/2020,4/20/2020,22175.7,5124.35,12653.17,Yes
Lynn Maynard,2001,Female,jonathanburton@example.com,C03,E03,Distributors,Email,P01,4/4/2021,4/17/2021,4/4/2021,26713.01,2418.76,4204.13,No
Thomas Mayer,1983,Female,rjordan@example.org,C01,E02,Online,Social Media,P04,4/22/2020,4/24/2020,4/22/2020,20515.01,36.44,15499.63,No
Robin Sparks,1978,Female,pwheeler@example.com,C01,E06,Online,Email,P01,12/1/2021,12/18/2021,12/1/2021,27265.76,16083.02,0,No
Jennifer Hill,1987,Female,stewartangelica@example.com,C01,E02,Online,KOL,P01,11/13/2021,11/17/2021,11/13/2021,23709.17,3183.79,18916.9,No
Michael Rivers,1998,Male,milesbrandon@example.com,C02,E07,Distributors,TV,P04,4/24/2018,5/9/2018,4/24/2018,17847.73,1391.55,2351.93,No
Charles Duran,1982,Female,traci47@example.org,C01,E08,Online,Email,P03,12/30/2022,1/27/2023,12/30/2022,30651,18392.25,0,No
Eric Perez,2001,Male,april86@example.org,C02,E03,Online,TV,P01,10/17/2021,11/15/2021,10/17/2021,21903.32,2411.55,7106.67,No
Kathryn Robbins,1996,Male,sherriwilkerson@example.net,C01,E02,Online,Email,P02,11/29/2019,12/10/2019,11/29/2019,24009.3,4844.37,10370.33,Yes
Emily Hill,1973,Male,alexis45@example.com,C01,E02,Distributors,TV,P04,11/6/2018,11/11/2018,11/6/2018,17485.96,1943.57,3551.48,Yes
Zachary Snyder,1969,Male,klam@example.net,C01,E05,Online,TV,P02,12/13/2021,12/21/2021,12/13/2021,25742.29,4422.95,22036.61,Yes
Michael Jones,1982,Male,douglasparsons@example.com,C02,E02,In-store,TV,P01,1/5/2020,1/13/2020,1/5/2020,25073.05,2547.13,8833.96,No
Timothy Hernandez,1980,Male,james63@example.net,C01,E02,Distributors,KOL,P03,1/18/2019,1/28/2019,1/18/2019,30610.91,18368.48,0,Yes
Dylan Anderson,1977,Female,david46@example.com,C01,E03,Distributors,Email,P01,3/4/2019,4/3/2019,3/4/2019,23170.04,4118.6,7043.95,No
James Winters,1977,Female,kaylaperry@example.org,C01,E04,Online,Social Media,P05,8/8/2021,8/28/2021,8/8/2021,23321.06,20166.65,0,Yes
Carol Morgan,1998,Male,mariamorgan@example.com,C03,E08,Distributors,TV,P02,7/10/2020,7/21/2020,7/10/2020,24295.95,1991.63,6863.89,Yes
Jared Morris,2005,Female,mallory10@example.net,C01,E02,Distributors,Email,P02,1/22/2022,2/13/2022,1/22/2022,29418.45,1414.44,12017.06,No
Tyler Johnson,1976,Female,francisco16@example.net,C03,E02,Online,TV,P03,7/18/2019,8/10/2019,7/18/2019,35842.04,21245.94,0,No
Leslie Obrien,1998,Male,samuel27@example.com,C01,E02,Distributors,KOL,P02,3/31/2019,4/11/2019,3/31/2019,26764.44,4865.99,16313.73,Yes
Olivia Watson,1995,Female,xortega@example.org,C03,E02,Online,Email,P05,10/15/2020,11/1/2020,10/15/2020,22328.41,1197.09,6337.13,No
Mike Patterson,2003,Female,qjoseph@example.com,C02,E01,Distributors,KOL,P01,2/1/2018,2/24/2018,2/1/2018,25650.26,15135.64,0,No
Virginia Reyes,2004,Male,schaefercandice@example.net,C03,E02,Online,Social Media,P05,1/28/2018,2/3/2018,1/28/2018,21180.04,2800.58,12221.14,No
Brittany Anderson,1990,Female,erin88@example.org,C02,E07,Online,KOL,P02,10/13/2020,10/28/2020,10/13/2020,27332.31,3694.39,36495.13,No
Thomas Wilson,1982,Male,richardfoley@example.org,C02,E02,In-store,KOL,P04,10/23/2018,10/29/2018,10/23/2018,18689.91,4803.2,8815.72,No
Kenneth Moore,1999,Male,sue93@example.net,C01,E02,Online,Email,P04,8/1/2019,8/22/2019,8/1/2019,17805.45,7704.29,0,Yes
Kristin Daugherty,1995,Male,jeffreyweeks@example.com,C01,E07,In-store,KOL,P03,2/23/2021,3/21/2021,2/23/2021,31765.88,,34282.25,No
David Ramos,1981,Female,april12@example.org,C01,E05,In-store,Email,P04,12/20/2022,1/9/2023,12/20/2022,20035.02,1897.74,12512.85,No
William Thompson,1990,Male,colleenmoore@example.com,C01,E03,Distributors,Email,P03,9/19/2019,9/27/2019,9/19/2019,29329.79,13873.62,0,Yes
Emily Atkinson,1966,Female,montgomerymark@example.com,C01,E05,Online,Social Media,P03,5/11/2020,6/9/2020,5/11/2020,35803.64,30427.62,0,No
Summer Sanders,1994,Male,kwheeler@example.org,C01,E01,In-store,KOL,P01,1/7/2018,1/10/2018,1/7/2018,21376.95,4236.61,13261.61,No
Sherri Frost,2002,Male,chad16@example.com,C01,E03,Distributors,Email,P04,5/21/2019,5/24/2019,5/21/2019,18903.18,69.67,4121.63,No
Jamie Vargas,2000,Male,smithdiane@example.net,C01,E01,Distributors,Social Media,P01,2/11/2020,3/1/2020,2/11/2020,19668.74,2899.49,2590.37,No
Courtney Jackson DDS,1993,Male,stevensmatthew@example.org,C02,E02,Distributors,Email,P02,10/5/2019,11/2/2019,10/5/2019,28708.03,9146.32,0,No
John Glover,1975,Female,andersonshelby@example.org,C02,E01,In-store,TV,P02,1/30/2021,2/7/2021,1/30/2021,27650.47,3549.93,0,No
Michelle Wood,1984,Male,ashley61@example.org,C01,E02,Distributors,Social Media,P01,2/28/2021,3/23/2021,2/28/2021,21556.12,2701.51,1537.76,No
Whitney Mendez,1977,Male,smithjames@example.net,C02,E02,Online,Social Media,P01,7/29/2023,8/5/2023,7/29/2023,21311.56,2927.96,7215.38,Yes
Kimberly Turner,2000,Female,charleneadams@example.com,C01,E07,In-store,Email,P02,7/5/2020,7/14/2020,7/5/2020,26863.35,890.12,7456.25,No
Diana Crawford,1966,Male,john32@example.org,C02,E02,Distributors,KOL,P04,11/1/2023,11/10/2023,11/1/2023,19520.14,1532.37,4577.99,No
Cynthia Garcia,2004,Male,scott51@example.com,C03,E03,In-store,Social Media,P02,11/7/2023,12/1/2023,11/7/2023,28332.08,542.68,,No
Justin Owens,1992,Female,garciajoy@example.org,C01,E06,Distributors,TV,P02,7/8/2022,8/1/2022,7/8/2022,28609.92,946.48,3906.65,No
April Roberts,1986,Female,macdonaldsandra@example.com,C02,E06,Online,Email,P05,1/7/2023,1/11/2023,1/7/2023,22169.93,11031.71,0,No
Maria Medina,1998,Female,douglas92@example.net,C01,E05,Online,KOL,P01,4/10/2020,4/26/2020,4/10/2020,23747.91,2176.89,19379.33,No
Dylan Zamora,2001,Male,bmartin@example.com,C02,E02,In-store,Social Media,P02,12/11/2023,12/19/2023,12/11/2023,23975.76,3402.5,11503.75,No
Nicholas Matthews,1982,Female,changmatthew@example.com,C01,E03,Online,Email,P04,6/20/2022,7/8/2022,6/20/2022,20238.68,17208.94,0,No
Adam Johnson,1971,Male,wellis@example.com,C01,E01,Distributors,Social Media,P04,4/12/2020,4/26/2020,4/12/2020,16464.39,7574.63,0,No
Richard Clements,1981,Male,kingryan@example.com,C02,E01,Online,KOL,P05,10/28/2019,11/7/2019,10/28/2019,16722.22,1761.99,16471.71,No
Abigail Gonzales,1974,Male,rasmussencrystal@example.net,C01,E03,In-store,TV,P01,4/27/2020,5/2/2020,4/27/2020,23983.76,3734.11,4460.79,Yes
Shannon Hernandez,1995,Male,bellcatherine@example.com,C03,E05,Distributors,TV,P02,4/1/2018,4/13/2018,4/1/2018,29495.05,10046.95,0,No
Benjamin Serrano,2001,Male,qjarvis@example.com,C01,E03,Distributors,KOL,P01,7/5/2021,7/26/2021,7/5/2021,19558.3,8375.51,0,Yes
Steven Clark,2005,Female,ryanmark@example.net,C02,E07,In-store,KOL,P01,10/6/2019,10/24/2019,10/6/2019,24953.24,1919.64,19624.05,No
David Shaw,1988,Male,stevenhart@example.com,C01,E06,Distributors,Email,P04,5/4/2019,5/25/2019,5/4/2019,20789.53,5399.29,63.84,No
Jeremy Cooper,1965,Male,andersonsteven@example.com,C02,E01,In-store,KOL,P02,7/31/2020,8/4/2020,7/31/2020,23866.07,1687.4,10506.03,No
Tanya Gonzalez,1978,Female,ceaton@example.net,C03,E04,Online,KOL,P01,9/17/2023,9/27/2023,9/17/2023,28473.67,1812.48,33278.78,No
Kristen Cordova,1995,Male,timothyharrell@example.com,C01,E04,Online,TV,P01,8/13/2020,8/31/2020,8/13/2020,21572.71,18149.79,0,Yes
Russell Young,2003,Male,hhernandez@example.com,C02,E08,Distributors,KOL,P02,12/1/2018,12/24/2018,12/1/2018,21876.38,14049.05,0,Yes
Sydney Nichols,1983,Male,mikekeith@example.org,C02,E01,In-store,Social Media,P03,1/12/2019,2/6/2019,1/12/2019,31318.03,18413.75,0,No
Kathryn Smith,1974,Female,katherine90@example.net,C02,E03,Online,KOL,P03,3/15/2019,3/29/2019,3/15/2019,33896.47,3108,31966.4,Yes
Nancy Patterson,2000,Male,robert35@example.com,C01,E01,Online,KOL,P05,9/6/2019,9/13/2019,9/6/2019,14402.97,4243.93,16251.1,No
Kelsey Smith,2001,Female,rebecca24@example.net,C03,E01,Online,KOL,P02,2/16/2023,2/25/2023,2/16/2023,31286.8,3211.44,18979.66,No
Andre Roach,1979,Female,fwalsh@example.com,C01,E04,Distributors,TV,P02,3/27/2018,4/17/2018,3/27/2018,27530.48,10121.04,0,Yes
John Jones,1995,Male,brett61@example.org,C03,E05,Distributors,TV,P01,11/5/2023,11/22/2023,11/5/2023,20507.77,1500.6,2584.49,No
Bryan Shepherd,2001,Male,qschmidt@example.net,C02,E05,Distributors,KOL,P01,3/10/2023,3/14/2023,3/10/2023,22233.97,4337.31,8723.87,No
Robert Avery,2002,Female,jennifer38@example.net,C01,E01,Online,Email,P05,4/17/2022,4/19/2022,4/17/2022,18980.19,6012.49,0,No
William Wolfe,1992,Male,patricknathan@example.org,C03,E03,Online,KOL,P01,4/23/2020,4/30/2020,4/23/2020,23779.21,781.36,24970.78,No
Dakota Ramirez,1987,Male,ssnyder@example.com,C01,E01,Online,KOL,P02,3/22/2020,4/6/2020,3/22/2020,24516.5,1442.22,20321.1,No
Deborah Brown,2002,Male,scott09@example.com,C03,E02,In-store,Email,P03,4/7/2022,4/17/2022,4/7/2022,32627.96,13805.95,0,No
Anthony Henderson,2003,Male,jacqueline05@example.org,C02,E01,Distributors,Social Media,P03,2/27/2022,3/3/2022,2/27/2022,29091.6,4022.73,13117.41,No
Alexandra Sawyer,2005,Male,yclements@example.net,C03,E02,Online,KOL,P01,8/18/2020,9/6/2020,8/18/2020,22356.65,3568.34,11660.94,Yes
Alicia Alvarez,1973,Male,nguyenlisa@example.com,C02,E02,Online,Social Media,P02,5/29/2019,6/26/2019,5/29/2019,27808.64,17143.66,0,Yes
Lindsey Bailey,1981,Female,sherripham@example.org,C02,E02,In-store,KOL,P02,3/4/2022,3/6/2022,3/4/2022,29171.89,33468.69,0,Yes
Dennis Myers,1992,Male,sarah19@example.com,C02,E08,Distributors,KOL,P01,6/2/2018,6/5/2018,6/2/2018,19756.66,1434.78,8313.54,Yes
Scott Chambers,1981,Male,karen01@example.org,C03,E02,Distributors,TV,P01,10/28/2020,11/16/2020,10/28/2020,22190.73,1977.53,4945.51,No
James Burns,1996,Male,obrady@example.org,C02,E07,,TV,P02,9/15/2021,10/10/2021,9/15/2021,27822.32,2697.19,4733.25,No
Johnny Vega,1996,Male,kstanley@example.net,C01,E01,Online,Social Media,P01,12/7/2021,12/12/2021,12/7/2021,19212.72,3535.26,9095.12,No
James Barber,1976,Male,smithmichelle@example.org,C02,E05,Online,KOL,P01,8/5/2019,8/16/2019,8/5/2019,20507.95,3650.07,20776.17,Yes
Kathleen Carter,1983,Female,marycummings@example.com,C01,E01,In-store,Email,P01,3/11/2019,3/19/2019,3/11/2019,24111.5,1787.09,10595.36,No
Susan Moreno,1987,Female,brianpearson@example.org,C01,E03,Distributors,KOL,P04,2/22/2022,3/1/2022,2/22/2022,19199.69,3016.73,6919.06,No
Stephen Mendoza,1970,Female,samanthabruce@example.com,C02,E01,Distributors,Email,P04,1/5/2022,1/8/2022,1/5/2022,20088.15,2042.2,1180.89,No
Amanda Hill,2001,Male,paula41@example.org,C01,E06,Online,Social Media,P05,1/30/2020,2/23/2020,1/30/2020,17909.92,7419.6,11795.32,No
Tina Jones,2005,Male,kmorris@example.org,C02,E08,Online,KOL,P01,6/18/2019,7/3/2019,6/18/2019,21074.57,2291.32,10891.06,Yes
Manuel Carter,1995,Male,rhodesjason@example.com,C01,E01,In-store,KOL,P03,12/20/2022,1/4/2023,12/20/2022,31155.54,1116.63,13363.34,Yes
Deborah Gallagher,1998,Male,jerry21@example.org,C01,E07,Distributors,KOL,P01,9/20/2018,9/22/2018,9/20/2018,20375.79,22183.81,,Yes
Dustin Martinez,1968,Male,zhiggins@example.org,C01,E05,In-store,KOL,P01,11/30/2018,12/3/2018,11/30/2018,18965.64,2482.21,8683.12,Yes
Mr. Adam Lara,2001,Female,sbryant@example.com,C02,E02,Distributors,Social Media,P01,,4/22/2020,,24548.09,2182.38,5127.75,Yes
Ryan Fleming,1980,Male,tanya95@example.net,C02,E07,Online,Social Media,P01,7/23/2021,7/30/2021,7/23/2021,21205.41,12410.1,0,No
Kevin Thompson,1969,Male,michael69@example.com,C02,E02,Distributors,TV,P03,4/19/2021,5/9/2021,4/19/2021,31440.59,5113.01,7659.23,Yes
David Bailey,2002,Female,theresawalker@example.net,C02,E03,Online,Social Media,P02,3/19/2019,4/14/2019,3/19/2019,28959.51,3830.39,20616.71,No
Mercedes Johnson,1989,Male,zjohnson@example.com,C02,E01,Online,TV,P01,12/7/2022,12/23/2022,12/7/2022,21635.16,3103.2,7010.42,No
Teresa Davis,1998,Male,alexanderreynolds@example.org,C01,E04,Distributors,Social Media,P01,2/22/2020,3/12/2020,2/22/2020,23650.47,3539.17,12546.75,No
Amy Wood,1979,Female,millermaurice@example.org,C03,E01,Online,Social Media,P04,2/15/2021,3/10/2021,2/15/2021,21542.91,10659.24,0,No
Mark Williams,2002,Female,eramsey@example.com,C01,E03,Distributors,KOL,P01,12/30/2020,1/23/2021,12/30/2020,22908.69,9610.84,0,Yes
Barbara Benson,2004,Male,maguilar@example.net,C01,E05,Online,Social Media,P02,12/8/2022,12/14/2022,12/8/2022,25520.88,28185.68,0,Yes
Todd Mcneil,1978,Female,ronald07@example.org,C03,E06,Online,TV,P01,11/13/2018,12/13/2018,11/13/2018,26832.76,6322.81,14889.45,No
Leah Lee,1984,Male,turnermark@example.org,C03,E01,Online,KOL,P01,9/19/2023,10/8/2023,9/19/2023,24751.07,3579.66,11644.66,No
Erica Snow,1984,Male,hstephens@example.org,C02,E05,Distributors,TV,P02,8/13/2023,8/20/2023,8/13/2023,27240.64,2764.24,2170.96,No
Mrs. Charlene Graves,2000,Male,nguyenkevin@example.net,C01,E05,In-store,KOL,P01,9/30/2020,10/17/2020,9/30/2020,21783.69,3451.73,17562.59,No
Mr. William Arnold Jr.,1989,Female,christopherfriedman@example.net,C03,E04,Online,KOL,P03,2/11/2023,3/5/2023,2/11/2023,34729.25,611.92,20480.87,No
Brittany Duran,2001,Female,smithwarren@example.com,C02,E04,Online,TV,P02,11/22/2018,12/8/2018,11/22/2018,27776.6,12369.16,0,Yes
Leslie Ponce,1984,Female,charles62@example.org,C03,E01,Online,Email,P04,2/1/2021,2/8/2021,2/1/2021,21172.22,1563.63,13712.47,No
Samantha Boone,1997,Female,alyssaharper@example.org,C01,E04,Distributors,Social Media,P03,9/23/2021,9/24/2021,9/23/2021,36366.04,3296.97,12170.78,Yes
Lisa May,1971,Male,fitzpatrickamanda@example.net,C03,E02,Online,KOL,P05,1/13/2021,1/15/2021,1/13/2021,17626.3,16993.37,0,Yes
Teresa Torres,1977,Female,youngleroy@example.org,C01,E06,In-store,KOL,P02,6/10/2019,7/6/2019,6/10/2019,30834.3,1374.05,31936.22,No
John Roberts,1985,Male,andersonclaire@example.org,C02,E02,Online,Social Media,P02,12/17/2019,1/4/2020,12/17/2019,23198.96,19066.18,0,No
William Horton,1995,Male,romeroraymond@example.com,C01,E04,Distributors,TV,P03,10/15/2019,10/23/2019,10/15/2019,33650.83,568.04,6388.61,No
Michelle Mclean,1999,Female,inavarro@example.net,C03,E03,Online,Email,P02,6/26/2023,7/16/2023,6/26/2023,32546.82,493.25,32350.81,No
Kurt Griffin,2000,Female,melanie37@example.com,C03,E06,Online,KOL,P01,3/6/2023,3/17/2023,3/6/2023,27984.6,3246.25,41616.7,No
Amanda Hill,2000,Female,brightvictoria@example.net,C02,E02,Online,KOL,P01,8/17/2022,9/9/2022,8/17/2022,25426.35,2967.47,24088.64,Yes
Ashley Lewis,1977,Female,robertjackson@example.org,C01,E01,Distributors,TV,P01,2/24/2018,3/21/2018,2/24/2018,23172.49,8360.61,0,No
Samantha Johns,2003,Male,lawsondiana@example.org,C01,E05,Online,KOL,P04,5/23/2023,6/5/2023,5/23/2023,19179.62,28118.7,0,No
Mark Reed,1987,Male,,C02,E03,In-store,TV,P03,3/7/2020,3/19/2020,3/7/2020,31185.22,13860.83,0,Yes
Russell Harding,2001,Male,nsalazar@example.net,C02,E04,Online,TV,P01,9/13/2021,9/21/2021,9/13/2021,21565.32,2580.95,8321.58,Yes
Charles Willis,1989,Female,michellereyes@example.org,C02,E01,Online,KOL,P04,8/29/2020,9/27/2020,8/29/2020,20100.89,1029.95,22442.51,No
Christopher Wilson,1987,Male,jennifercopeland@example.com,C03,E08,Distributors,Social Media,P01,4/11/2018,5/2/2018,4/11/2018,21042.33,1983.2,13203.11,Yes
Andrea Jensen,2000,Male,jessicabishop@example.net,C03,E06,Distributors,TV,P05,2/13/2018,2/15/2018,2/13/2018,20395.38,1066.41,6322.75,No
John Gordon,1980,Female,ymartinez@example.org,C03,E04,Distributors,Email,P02,7/14/2020,7/17/2020,7/14/2020,30585.44,12626.43,0,Yes
Teresa Petty,1997,Male,bradleyvazquez@example.com,C01,E01,In-store,TV,P05,11/5/2023,11/25/2023,11/5/2023,15517.4,1091.84,5053.99,No
Dawn Contreras,1967,Male,cantrellalyssa@example.com,C01,E02,Distributors,TV,P04,1/29/2023,2/5/2023,1/29/2023,18052.54,2256.51,676.36,No
Jessica Obrien,1999,Male,charleslee@example.com,C02,E08,In-store,Email,P04,7/27/2023,8/23/2023,7/27/2023,14828.91,735.07,5007.11,No
Nicholas Bell,1971,Female,jameslindsey@example.org,C01,E05,In-store,Social Media,P02,11/26/2019,12/15/2019,11/26/2019,27566.7,1424.08,13058.69,Yes
Natasha Smith,1990,Male,georgebrown@example.org,C02,E01,In-store,KOL,P01,7/22/2019,8/20/2019,7/22/2019,21178.49,2369.2,7048.01,No
Brandon Lopez,1977,Male,johnny72@example.com,C01,E03,Online,Social Media,P02,8/4/2020,8/15/2020,8/4/2020,25505.46,4855.88,25905.76,Yes
Daniel Bonilla,1990,Female,cking@example.org,C01,E08,Distributors,TV,P01,8/20/2020,9/15/2020,8/20/2020,22257.05,6062.41,0,Yes
Paul Parker,1992,Male,yclark@example.org,C01,E03,Online,KOL,P04,7/12/2020,8/2/2020,7/12/2020,16466.12,540.7,14575.55,No
Christopher Klein,2000,Male,ehernandez@example.com,C02,E01,Online,Social Media,P03,7/9/2020,7/14/2020,7/9/2020,29372.75,1491.33,29751.56,No
Ashley Coleman,1982,Female,clementstroy@example.com,C01,E04,Online,TV,P01,2/28/2018,3/20/2018,2/28/2018,24335.38,21776.56,0,Yes
